Mohamed Diab,80147323
Naoto Amazutsumi,81171871
Paul Greengrass,80210932
Rusty Cundieff,81015317
Jay Karas,80205204
Alastair Fothergill,70235731
James Yukich,80003481
Maciej Dejczer,81168338
Rusty Nixon,81103033
Lee Tamahori,60002273
Richard Rich,70297962
Michael Bay,269880
Michael Bay,60029167
Ted Demme,60020891
Bernard Rose,347365
McG,60003242
McG,60027726
Lee Yoon-jung,81166946
Paul Haggis,70023961
Troy Miller,60027716
Dave Green,70287957
Wojciech Marczewski,81168345
Andrzej Bartkowiak,60020892
Roy Poortmans,81164752
Brian Robbins,60028097
Mark Helfrich,70065112
Jon Hurwitz,70083108
Bille Woodruff,70184050
Janusz Majewski,81168347
Alex Merkin,81003460
Janusz Majewski,81168348
Alex Proyas,70095135
Vrinda Samartha,81191254
Jacek Koprowicz,81168340
Barry Sonnenfeld,60023597
Nicholaus Goossen,81002876
Scott Hicks,70058017
Steven Soderbergh,70058024
Steven Soderbergh,70011211
Morgan Spurlock,70271599
Martin Scorsese,70020699
Stig Bergqvist,60003540
Wes Craven,1181550
Asif Kapadia,70170051
Robert Rodriguez,70021630
Dorian Fernández-Moris,81043753
Jeannot Szwarc,60001761
Bryan Singer,70041963
Ash Brannon,70058025
Andy Tennant,70128696
Rob Reiner,70077542
Marek Piwowski,81168342
Kunle Afolayan,81165772
Brian Levant,510854
Brian Levant,60000921
Stanisław Różewicz,81168343
Gabriele Muccino,70044605
Igor Kovalyov,18021979
Krzysztof Zanussi,81168344
Noah Baumbach,70020750
Robert Schwentke,70105596
Danny Boyle,60037022
Wolfgang Petersen,60034571
Paul Feig,70053456
Alex Smith,80173150
Antoni Krauze,81168341
Stanisław Różewicz,81168346
Simranjit Singh Hundal,80137461
Justin G. Dyck,81012857
Ram Gopal Varma,70123116
N. Linguswamy,80190101
Deep Joshi,81024712
Antoine Fuqua,70112494
John Curran,80215922
Rakeysh Omprakash Mehra,70113306
Anurag Kashyap,70113305
Manjeet Maan,80032472
Shagufta Rafique,81024703
Shakun Batra,70181653
Andrew Renzi,80048200
Tinu Pappachan,81025884
Amitoj Mann,80032474
Amarpreet G S Chabbra,80032476
Paresh Mokashi,70127589
Anurag Basu,80104130
Rohit Jugraj,80032473
Ashutosh Gowariker,70090035
Atharv Baluja,81024713
Vishal Bhardwaj,70117268
Leslie Small,70211216
Shannon Hartman,70140322
Rohit Jugraj,81024696
Shashanka Ghosh,70303428
Steve Greenwood,81012407
Puneet Sira,70125882
Aziz Mirza,70101039
Renzil D'Silva,70123121
Smeep Kang,80152182
Sameer Sharma,70229042
Chandan Arora,70042756
Baljit Singh Deo,80187618
Amitoj Mann,81024704
