0,1,TV Show,Lovesick,9/3/2018,2014,TV-14,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,80184358
96,0,Movie,The Debt Collector,9/3/2018,2018,TV-MA,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.",80198585
112,0,Movie,Act of Vengeance,9/29/2018,2010,NR,"Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist).",70233894
111,0,Movie,Paradise Lost,9/29/2018,2018,TV-MA,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",81011955
103,0,Movie,Gerald's Game,9/29/2017,2017,TV-MA,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",80128722
40,0,Movie,Long Shot,9/29/2017,2017,TV-14,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",80182115
0,1,TV Show,Mak Cun,9/29/2017,2015,TV-PG,A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.,80163293
103,0,Movie,Our Souls at Night,9/29/2017,2017,TV-14,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",80104068
85,0,Movie,Out of Thin Air,9/29/2017,2017,TV-14,"Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted.",80119349
0,1,TV Show,Paul Hollywood's Big Continental Road Trip,9/29/2017,2017,TV-14,"Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.",80199032
0,1,TV Show,Satu Hari,9/29/2017,2014,TV-14,"A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.",80180449
72,0,Movie,"Monster High: Boo York, Boo York",9/29/2015,2015,TV-Y7,Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.,80019931
45,0,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,9/28/2019,2019,TV-G,An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.,81053893
89,0,Movie,Domino,9/28/2019,2019,R,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",80200087
90,0,Movie,TUNA GIRL,9/28/2019,2019,TV-PG,A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.,81053892
126,0,Movie,5CM,9/28/2018,2012,TV-14,"Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",81002850
130,0,Movie,Animal World,9/28/2018,2018,TV-MA,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.",81004470
126,0,Movie,Hold the Dark,9/28/2018,2018,TV-MA,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",80157072
24,0,Movie,Lessons from a School Shooting: Notes from Dunblane,9/28/2018,2018,TV-PG,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart.",81001809
0,1,TV Show,Made in Mexico,9/28/2018,2018,TV-MA,"These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.",80201933
